1;Отделение Ростов-на-Дону;7;
2;Отделение Севастополь;7
3;Отделение-НБ Руспублика Дагестан;7
4;Отделение-НБ Чеченская Республика;7
5;Отделение Барнаул;6
6;Отделение Красноярск;6
7;Отделение Чита;6
8;Отделение Омск;6
9;Отделение Архангельск;5
10;Отделение Ленинградское;5
11;Отделение Псков;5
12;Отделение Новгород;5
13;Отделение Курган;4
14;Отделение Тюмень;4
15;Отделение Пермь;4
16;Отделение Челябинск;4
17;Отделение Анадырь;3
18;Отделение Магадан;3
19;Отделение Биробиджан;3
20;Отделение Хабаровск;3
21;Отделение Киров;2
22;Отделение Ульяновск;3
23;Отделение Самара;3
24;Отделение-НБ Республика Татарстан;3
25;Отделение Тамбов;1
26;Отделение Тверь;1
27;Отделение Тула;1
28;Отделение Владимир;1
